"id","title","url"
1,"Ice - open source bar manager for macOS","https://github.com/jordanbaird/Ice"
2,"CPU Energy Meter: A tool for measuring energy consumption of Intel CPUs","https://github.com/sosy-lab/cpu-energy-meter"
3,"I learned Vulkan and wrote a small game engine with it","https://edw.is/learning-vulkan/"
4,"Roman Roads (2017)","https://sashamaps.net/docs/maps/roman-roads-original/"
5,"Deepnote (YC S19) is hiring engineers to build a better Jupyter notebook","https://deepnote.com/join-us"
6,"AeroSpace is an i3-like tiling window manager for macOS","https://github.com/nikitabobko/AeroSpace"
7,"Extracting concepts from GPT-4","https://openai.com/index/extracting-concepts-from-gpt-4/"
8,"Dblab: Interactive Terminal Client for PostgreSQL, MySQL, SQLite3 and Oracle","https://github.com/danvergara/dblab"
9,"Saint Michael Sword: Are the cathedrals really on a straight line?","https://geospatial.netlify.app/posts/gds-2024-04-20-cathedrals/"
10,"lsix: Like ""ls"", but for images","https://github.com/hackerb9/lsix"